Número do Processo (Não edite);ID (Não edite);Item (Não edite);Produto (Não edite);Quantidade (Não edite);Modelo (Insira as informações quando aplicável);Marca/Fabricante (Insira as informações quando aplicável);Código de Registro na ANVISA (Insira as informações quando aplicável);Descrição detalhada do Item (Insira as informações);Valor unitário (Insira as informações);Valor total (Insira as informações)
011/2023;11889;139;MÁSCARAS RESPIRATÓRIA, MODELO N95 PFF 2 S, NA COR BRANCA, COM CERTIFICADO DE APROVAÇÃO (CA), RESISTÊNCIA CONTRA FLUÍDOS, EFICÁCIA DE FILTRAGEM DE PARTÍCULAS E BACTÉRIAS, CAPACIDADE DE FILTRAR MATERIAIS PARTICULADOS;5000;;;;;;
011/2023;11890;140;TESTE RAPIDO PARA DETECÇÃO QUALITATIVA ESPECIFICA IGC E IGM DA COVID 19,;5000;;;;;;
011/2023;11891;141;CAMISOLAS HOSPITALAR, NA COR VERDE CLARO BEBÊ OU BEGE, MATERIAL TRICOLINI 100% ALGODÃO TAMANHO P, M E G,DE AMARRAÇÃO COM FITAS TRESPASSADOS;200;;;;;;
011/2023;11892;142;LENÇOL DESCARTAVEL TNT com elastico para maca 90cm x 2m, cor branco, UNIDADE com 10 UNIDADEes;300;Anadona;Anadona;;LENÇOL DESCARTÁVEL TNT COM ELÁSTICO PARA MACA 90CM X 2M. COR: BRANCO PACOTE COM 10 UNIDADES;11,7;3510
011/2023;11893;143;PAPEL LENÇOL HOSPITALAR 70CM X 50 METROS, 100% CELULOSE VIRGEM, BRANCO, QUALIDADE IGUAL OU SUPERIOR A MARCA PLUMAX;100;Plumax;Plumax;;PAPEL LENÇOL HOSPITAL 70 CM X 50 METROS, 100% CELULOSE VIRGEM, BRANCO, QUALIDADE IGUAL OU SUPERIOR A MARCAPLUMAX;18,07;1807
011/2023;11894;144;FIXADOR DE CANULA TRAQUIOSTOMIA INFANTIL,;2000;;;;;;
011/2023;11895;145;OXIMETRO DE DEDO, PORTATIL PARA MEDIR SPO2 (OXIGENIO NO SANGUE) AFERIÇÃO DE FREQUENCIA CARDIACA COM CURVA PLESTIMOGRAFICA, RESULTADO RAPIDO, NAO INVASIVO, SEM DOR, AFERIÇÃO DE HEMOGALÃOOBINA 35/100% PRECISÃO DE +- 2% AFERIÇÃO DEBATIMENTOS CARDIACOS 30-250 BPM (PRECISÃO DE MAIS OU MENOS 1BPM) AUTO DESLIGAMENTO EM 08 SEGUNDOS, SINALIZADOR VISUAL DO NIVEL DE BATERIA, AUTONOMIA DE 20HORASUTILIZANDO PILHAS 2X AAA;100;;;;;;
011/2023;11896;146;KIT PARA RETIRADA DE PONTOS, CONTENDO UM ESTOJO INOX, 10X0,50X0,2 CM, 1 MANTA DE SILICONE 12X0,5X0,2CM - PINÇA DE RETIRADA DE PONTOS 10CM TESOURA SPENCER RETA;30;;;;;;
011/2023;11897;147;KIT PARA SUTURA CONTENDO UM CABO DE BISTURI , N°3, 1 ESTOJO INOX, 14X08X02CM 01 PINÇA ANATOMICA DENTE DE RATO, 12CM, UMA PINÇA ANATOMICA DISSECÇÃO 12CM 01 PINÇA DE MOSQUITO CURVA 12CM, 01 PORTA AGULHA MAYO HEGAR, SEM VIDEA 12CM, 01 TESOURA IRIS PONTA RETA 11 CM;30;;;;;;
011/2023;11898;148;FOCO CLINICO GINECOLOGICO, refletor de luz auxiliar para exames clinicos e ginecologicos com haste superior, flexivel e cromada, pedestal com haste inferior pintada, altura variavel entre 100 a 150 cm, pintura em epoxi a 250° c de alta resistencia, base do pedestal com 04 rodizios, proporcionando maior sustentação e segurança ao equipamento, alimentação eletrica automatica de 127 a 20 v 50/60hz incluso lampada de led, luz fria e branca, garantia de 1 ano contra defeitos de fabricação dimensões minimas comprimento 15 cm, largura 10,5 cm, altura 106cm produto projetado em conformidade aos requisitos das normas nbr-iec 60,601 1 e nbr-iec 60,601 1-2;20;;;;;;
011/2023;11899;149;DETECTOR FETAL PORTÁTIL, DISPLAY LCD,FAIXA DE MEDIÇÃO DE FCF 30 A 240BPM CICLAGEM 6000 A 60000 E FREQUÊNCIA DE TRABALHO 2MHZ ± 10% ALIMENTAÇÃO BATERIA 9V X 200 MAH ALCALINA RECARREGÁVEL DIÂMETRO MÁXIMO DO FOCO ULTRASSÔNICO 50MM PROFUNDIDADE MÁXIMA DO FEIXE ULTRASSÔNICO 200 A 250 MM ALARME DE BRADICARDIA E TAQUICARDIA CONTROLE DE VOLUME ALOJAMENTO PARA TRANSDUTOR NA LATERAL DO APARELHO SAÍDA PARA FONE DE OUVIDO OU GRAVADOR DE SOM POTENCIA ULTRASSÔNICA 5MH/CM² POTÊNCIA MÁXIMA DE CONSUMO 2VA GABINETE E TRANSDUTOR CONFECCIONADO EM PLÁSTICO ABS QUATRO MODOS DE FUNCIONAMENTO INDICADOR DE BATIMENTO CARDÍACO FETAL E BATERIA FRACA NO DISPLAY COM CONTADOR NUMÉRICO DIGITAL CARREGADOR PARA BATERIA UTILIZA REDE ELÉTRICA (110 V) OU (220 V) DESLIGAMENTO AUTOMÁTICO PARA ECONOMIA DE BATERIA APÓS 1 MINUTO SEM DETECÇÃO COMPARTIMENTO PARA A BATERIA LOCALIZADO NA TRASEIRA DIMENSÕES (LPA) 131 X 117 X 33 MM PESO LÍQUIDO 320GR INCLUSO FONE DE OUVIDO INTRA-AURICULAR, BATERIA 9V ALCALINA GARANTIA DE 01 ANO CONTRA DEFEITOS DE FABRICAÇÃO;30;;;;;;
011/2023;11900;150;DETECTOR FETAL DE MESA, FAIXA DE MEDIÇÃO DE FCF 30 A 240 BPM CICLAGEM DE 6000 A 60000 E FREQUÊNCIA DE TRABALHO 2MHZ ±10% ALIMENTAÇÃO CHAVEADA QUE OPERA DE 110 A 230 V ±10% E FREQUÊNCIA DE 50/60HZ DIÂMETRO MÁXIMO DO FOCO ULTRASSÔNICO 50 MM PROFUNDIDADE MÁXIMA DO FEIXE ULTRASSÔNICO 200 A 250 MM CONTROLE DE VOLUME DIGITAL 9 NÍVEIS (1 - 9) CONTROLE DE TONALIDADE DIGITAL 10 NÍVEIS (0 – 9) ALOJAMENTO PARA TRANSDUTOR NA LATERAL DO GABINETE SAÍDA PARA FONE DE OUVIDO OU GRAVADOR DE SOM POSSUI FUSÍVEL DE PROTEÇÃO CONTRA SOBRECARGA DA CORRENTE ELÉTRICA PESO LÍQUIDO 1,8KG DIMENSÕES (LPA) 217X250X100MM POTENCIA 32 VA/ 15W POTENCIA ULTRASSÔNICA 5MH/CM² GARANTIA 2 ANOSCONTEÚDO DA EMBALAGEM 01 – APARELHO SONAR DE MESA 01 – TRANSDUTOR 2MHZ 01 – FONE PARA OUVIDO 01 – FRASCO DE GEL 01 – CABO DE ALIMENTAÇÃO 01 – MANUAL DE INSTRUÇÕES;30;;;;;;
011/2023;11901;151;CAMPO CIRURGICO TAMANHO 50X50 ESTÉRIL, COM FENESTRA, PRODUTO FABRICADO EM FALSO TECIDO (TNT), PRODUTO ESTERIL;100;;;;;;
011/2023;11902;152;CADEIRA DE RODAS ADULTO FABRICADA EM AÇO CARBONO, COM ASSENTO/ENCOSTO EM NYLON, DOBRÁVEL, FREIOS BILATERAIS, ARO IMPULSOR BILATERAL, APOIO PARA BRAÇOS E PÉS FIXOS, RODAS DIANTEIRAS ARO 06 COM PNEUS MACIÇOS E RODAS TRASEIRAS ARO 24 EM ALUMÍNIO COM PNEUS INFLÁVEL LARGURA DO ASSENTO 40 CM, PROFUNDIDADE DO ASSENTO 41 CM, ALTURA ENCOSTO 36 CM, ALTURA DO ASSENTO AO CHÃO 52 CM, COMPRIMENTO TOTAL DA CADEIRA 100 CM, LARGURA TOTAL ABERTA 64 CM, LARGURA TOTAL FECHADA 30 CM, ALTURA DO CHÃO À MANOPLA 90 CM, PESO DA CADEIRA 14 KG, CAPACIDADE MÁXIMA DE PESO 85 KG, ALTURA DO CHÃO AO AP DE BRAÇO 69 CM, ALTURA DO ASSENTO AO AP DE BRAÇO 19 CM, OPÇÃO DE CORES CINZA-PRETA GARANTIA DE 24 MESES;10;;;;;;
011/2023;11903;153;CADEIRA DE RODAs INFANTIL, FABRICADA EM AÇO CARBONO, DOBRÁVEL, COM ENCOSTO ALMOFADADO, ASSENTO DUPLO ALMOFADADO EM NYLON, FREIOS BILATERAIS, ARO IMPULSOR BILATERAL, X DUPLO NA ESTRUTURA, APOIO PARA OS BRAÇOS ESCAMOTEÁVEIS, APOIO PARA OS PÉS COM REGULAGEM DE ALTURA RODAS TRASEIRAS ARO 20 EM ALUMÍNIO COM PNEUS INFLÁVEIS E DIANTEIRAS ARO 06 COM PNEUS MACIÇOS RODAS TRASEIRAS REMOVÍVEIS COM SISTEMA QUICK RELEASE ESPECIFICAÇOES LARGURA 36CM, PROFUNDIDADE DO ASSENTO 40CM, ALTURA DO ENCOSTO 43CM, ALTURA DO ASSENTO AO CHÃO 46CM, COMPRIMENTO TOTAL DA CADEIRA 81CM, LARGURA TOTAL ABERTA 58CM, LARGURA TOTAL FECHADA 35CM, ALTURA DO CHÃO À MANOPLA 85CM, PESO DA CADEIRA 18 KG, CAPACIDADE MÁXIMA DE PESO 60KG, ALTURA DO CHÃO AO APOIO DE BRAÇO 66CM, ALTURA DO ASSENTO AO APOIO DE BRAÇO 20CM GARANTIA DE 01 ANO;10;;;;;;
011/2023;11904;154;CADEIRA DE BANHO, CONFECCIONADA EM AÇO CARBONO IDEAL PARA USO SANITÁRIO E CHUVEIRO ASSENTO SANITÁRIO REMOVÍVEL, APOIO PARA OS BRAÇOS FIXOS APOIO PARA OS PÉS FIXOS, FREIOS BILATERAIS RODAS TRASEIRAS ARO 06, GIRATÓRIAS COM PNEUS MACIÇOS RODAS DIANTEIRAS ARO 06, COM PNEUS MACIÇOS POSICIONADAS NA PARTE INTERNA DA CADEIRA, ENCOSTO EM NYLON LARGURA DO ASSENTO 40 CM PROFUNDIDADE DO ASSENTO 40 CM ALTURA ENCOSTO 38 CM ALTURA DO ASSENTO AO CHÃO 50 CM COMPRIMENTO TOTAL DA CADEIRA 54 CM LARGURA TOTAL ABERTA 44 CM, LARGURA TOTAL FECHADA NÃO FECHA, ALTURA DO CHÃO À MANOPLA 93 CM, PESO DA CADEIRA 8 KG, CAPACIDADE MÁXIMA DE PESO 150 KG, ALTURA DO CHÃO AO AP DE BRAÇO 64 CM ALTURA DO ASSENTO AO AP DE BRAÇO 14 CM, GARANTIA DE 01 ANO;10;;;;;;
011/2023;11905;155;NEBULIZADOR/INALADOR PORTÁTIL, CONTENDO FILTROS, MANGUEIRA, MÁSCARA PARA ADULTO, MÁSCARA PARA CRIANÇA, PIPETA NEBULIZADOR, VOLTAGEM 110W/220W GARANTIA DE 01 ANO;30;;;;;;
011/2023;11906;156;MACA HOSPITALAR, PRÓPRIO PARA EXAMES, REPOUSO E MASSAGEM, LEITO ESTOFADO, DENSIDADE 23, ARMAÇÃO TUBULAR EM PINTURA EPÓXI, CABECEIRA RECLINÁVEL, SUPORTE PARA LENÇOL DESCARTÁVEL, PÉS COM PONTEIRAS PVC, CAPACIDADE ATÉ 150 KG DIMENSÕES EXTERNAS COMPRIMENTO 181CM, LARGURA 0,61 CM ALTURA 0,81 CM GARANTIA DE 01 ANO;20;;;;;;
011/2023;11907;157;MESA GINECOLÓGICA, ASSENTO FIXO, SUPORTE PARA BALDE, ENCOSTO REGULÁVEL, APOIO PARA OS PÉS, PINTURA EM EPÓXI, REVESTIMENTO EM COURVIN, PÉS COM PONTEIRAS PLÁSTICAS, LEITO ESTOFADO DIVIDIDO EM TRÊS PARTES, CAPACIDADE SUPORTADA APROXIMADA 90 KG, PESO APROXIMADO DA MESA GINECOLÓGICA 20 KG, DIMENSÕES DA MESA GINECOLÓGICA ABERTA140CM (A) X 53CM (L) 180CM (C)GARANTIA DE 01 ANO;10;;;;;;
011/2023;11908;158;TESTE RÁPIDO SWAB NASAL PARA COVID-19 – TESTE RÁPIDO DE DIAGNÓSTICO IN VITRO PAR, Teste Rápido SWAB nasal para COVID-19 – teste rápido de diagnóstico in vitro para detecção qualitativa do antígeno SARS-CoV-2 (Ag) em amostra de esfregaço nasofaríngeo humano, Caixa contendo: - 25 dispositivos de teste com dessecante em bolsa individual, - Tampão (1 x 9 ml/frasco) - 25 tubos de extração, - 1 swab controle positivo, - 1 swab controle negativo, - 25 swabs nasofaríngeos esterilizados para coleta de amostra, - 1 suporte para tubos, - 1 guia de referência rápida (nasofaríngea) - 1 instrução de uso, Caixa com 25 UNIDADEes,;200;;;;;;
011/2023;11909;159;FITA ANTROPOMÉTRICA PARA REALIZAR MEDIÇÕES PRECISAS DO CORPO, COMO CABEÇA, ABDÔMEN E CINTURA, MATERIAL PLÁSTICA ABS RESOLUÇÃO EM MILÍMETROS RETRAÇÃO AUTOMÁTICA FAIXA DE MEDIÇÃO 150CM,;50;;;;;;
011/2023;11910;160;ADIPÔMETRO (PLICÔMETRO) PORTÁTIL DESTINADO A MEDIR A ESPESSURA DO TECIDO ADIPOSO, EM DOBRAS CUTÂNEAS TRICIPTAL, SUBESCAPULAR, AXILAR MÉDIA, SUPRA-ILÍACA, ABDOMINAL, BICIPTAL, TORÁXICA, SUPRA-ESPINAL, PANTURRILHA MEDIAL E COXA,DESCRICAO DIPÔMETRO CIENTÍFICO EM POLÍMERO MATERIAL TERMO PLÁSTICO INJETÁVEL ABS ESCALA GRADUADA DE MEDIÇÃO DÉCIMOS DE MILÍMETRO APALPADORES OVALADOS COM ÁREA DE APROXIMADAMENTE 97MM² AMPLITUDE DE 0 A 65MM TOLERÂNCIA DE MEDIÇÃO +/- 0,5MM DIMENSÕES 25X15X50CM (CAIXALXA) PESO LÍQUIDO 320G, ACOMPANHA LAUDO DE CALIBRAÇÃO,GARANTIA 06 MESES;30;;;;;;
011/2023;11911;161;SONDA ASPIRAÇÃO TRAQUEAL C/ VALVULA TUBO DESCARTAVEL N06,;500;;;;;;
011/2023;11912;162;SONDA ASPIRAÇÃO TRAQUEAL C/ VALVULA TUBO DESCARTAVEL N08,;500;;;;;;
011/2023;11913;163;SONDA ASPIRAÇÃO TRAQUEAL C/ VALVULA TUBO DESCARTAVEL N10,;500;;;;;;
011/2023;11914;164;SONDA ASPIRAÇÃO TRAQUEAL C/ VALVULA TUBO DESCARTAVEL N12,;500;;;;;;
011/2023;11915;165;COLETOR DE URINA DE SISTEMA FECHADO COM CORDÃO, COMPOSTO DE01 BOLSA COLETORA GRADUADA CAPACIDADE DE 2000ML,TRANSPARENTE NA FRENTE E OPACO NO VERSO,COM VALVULA ANTI REFLUXO,PINÇA CORTA FLUXO PRENDEDOR,EXTENSOR COM 120CM DE COMPRIMENTO,MEMBRANA EM LATEX CICATRIZANTE,ALÇA PARA FIXAÇÃO NO LEITO,CONECTOR UNIVERSAL COM TAMPA PROTETORA,USO ÚNICO ESTÉRIL,DESCARTAVEL,ATOXICO,APIROGENICO,COM FILTRO ANTIBACTERIANO,EMBALAGEM INDIVIDUAL,PONTO DE COLETA PARA AMOSTRAS DEVE APRESENTAR DADOS DE IDENTIFICAÇÃO DO PRODUTO,DO FABRICANTE,DATA DE FABRICAÇÃO,PRAZO DE VALIDADE E TIPO DE ESTERELIZAÇÃO E QUE PERMITA ABERTURA TECNICA ASSEPTICA,REGISTRADO NA ANVISA,;500;;;;;;
011/2023;11916;166;COLETOR PARA MATERIAL PERFUROCORTANTE 20 LITROS, Confeccionado em papel incinerável, cor amarela, revestido internamente com produto impermeabilizante que evita umidade e vazamento, acompanhado de saco plástico ou não, com instruções de montagem e uso impressas externamente, cinta em material resistente à perfurações, alça para transporte fixa ao coletor, tampa fixa ao coletor, bocal com abertura que facilite o descarte de material e linha que apresente o limite máximo de enchimento Fabricado de acordo com a NR 32 (MTE), constando externamente a simbologia de material infectante conforme NBR 7500 Deve atender as normas NBR 13853 – caixa com 20 UNIDADEes;200;Descarbox;Descarbox;;COLETOR PARA MATERIAL PERFURO CORTANTE 20 LITROS-CONFECCIONADO EM PAPEL INCINERÁVEL,COR AMARELA,REVESTIDO INTERNAMENTE COM PRODUTO IMPERMEABILIZANTE QUE EVITA UMIDADE E VAZAMENTO,ACOMPANHADO DE SACO PLÁSTICO OU NÃO,COM INSTRUÇÕES DE MONTAGEM E USO IMPRESSAS EXTERNAMENTE,CINTA EM MATERIAL RESISTENTE A PERFURAÇÕES,ALÇA PARA TRANSPORTE FIXA AO COLETOR,TAMPA FIXA AO COLETOR,BOCAL COM ABERTURA QUE FACILITE O DESCARTE DE MATERIAL E LINHA QUE APRESENTE O LIMITE MÁXIMO DE ENCHIMENTO.FABRICADO DE ACORDO COM A NR 32(MTE),CONSTANDO EXTERNAMENTE A SIMBOLOGIA DE MATERIAL INFECTANTE CONFORME NBR 7500.DEVE ATENDER ASNORMAS NBR 13853-CAIXA COM 20 UNIDADES.;258,7;51740
011/2023;11917;167;ESTETOSCÓPIO DUPLO, OLIVAS MACIAS E ANATÔMICAS EM PVC SILICONADO, ESTRUTURAS EM METAL CROMADO E POLIDO PARA MAIOR DURABILIDADE E DESINFECÇÃO,MOLA DO ÂNGULO EM AÇO ESPECIAL PARA AJUSTAR O ESTETOSCÓPIO SEM PRESSIONAR OS OUVIDOS,TUBO ``Y`` EM PVC LISO PARA MAIOR DURABILIDADE E DESINFECÇÃO,ANEL DE PVC COLORIDO PARA NÃO TOCAR O METAL DIRETAMENTE NO PACIENTE E TRANSMITIR SENSAÇÃO FRIA,AUSCULTADOR DUPLO EM METAL CROMADO E LISO,IDEAL PARA AUSCULTAÇÃO CARDÍACA E PULMONAR;30;;;;;;
011/2023;11918;168;OTOSCOPIO COM AS SEGUINTES CARACTERÍSTICAS: OTOSCÓPIO CABEÇA EM METAL, DE ALTA RESISTÊNCIA, CONEXÃO COM PÊRA DE INSUFLAÇÃO, PERMITINDO OTOSCOPIA PNEUMÁTICA, CABO EM METAL ANODIZADO ESTRIADO, 03 ESPECULOS DE DIFERENTES CALIBRES, TRANSMISSÃO DE LUZ DE FORMA DIRETA,LÂMPADA HALÓGENA, BOLSA EM COURVIN COM COMPARTIMENTOS PARA GUARDAR O OTOSCÓPIO E ESPECULOS, GARANTIA DE UM ANO, REGISTRO ANVISA,;10;;;;;;
011/2023;11919;169;PAPAGAIO NOVA LUMINOX 26X13 MARRECO,;20;;;;;;
011/2023;11920;170;SONDA ENTERICA P/ALIMENTAÇÃO E C/PESO E COM FIO GUIA INSERIDO, LUMEM INTENO E, SISTEMA DE PESO REVESTIDO POR UMA SUBSTANCIA LUBRIFICANTE HIDROFILA (HYDROMER), 100º POLIURETO RADIOPACO, CONECTOR EM Y Nº12 (43-109CM);200;;;;;;
011/2023;11921;171;SONDA NASOGÁSTRICA CURTA Nº04, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11922;172;SONDA NASOGÁSTRICA CURTA Nº06, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11923;173;SONDA NASOGÁSTRICA CURTA Nº08, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11924;174;SONDA NASOGÁSTRICA CURTA Nº10, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11925;175;SONDA NASOGÁSTRICA CURTA Nº12, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11926;176;SONDA NASOGÁSTRICA CURTA Nº14, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11927;177;SONDA NASOGÁSTRICA CURTA Nº16, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11928;178;SONDA NASOGÁSTRICA CURTA Nº18, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11929;179;SONDA NASOGÁSTRICA CURTA Nº20, EM PVC, FLEXÍVEL, ATÓXICO E ESTÉRIL,,;100;;;;;;
011/2023;11930;180;SONDA NASOGÁSTRICA LONGA Nº 04 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11931;181;SONDA NASOGÁSTRICA longa Nº 06 em PVC, flexível, atóxico e estéril,;100;;;;;;
011/2023;11932;182;SONDA NASOGÁSTRICA longa Nº 08 em PVC, flexível, atóxico e estéril,;100;;;;;;
011/2023;11933;183;SONDA NASOGÁSTRICA LONGA Nº 10 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11934;184;SONDA NASOGÁSTRICA LONGA Nº 12 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11935;185;SONDA NASOGÁSTRICA LONGA Nº 14 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11936;186;SONDA NASOGÁSTRICA LONGA Nº 16 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11937;187;SONDA NASOGÁSTRICA LONGA Nº 18 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11938;188;SONDA NASOGÁSTRICA LONGA Nº 20 em PVC, flexível, atóxico e estéril,,;100;;;;;;
011/2023;11939;189;TORNEIRA DE 3 VIAS, dividida em corpo e núcleo, sendo o corpo em policarbonato e o núcleo em plástico opaco e colorido Duas extremidades tipo luer lock com tampa e uma luer slip com tampa Movimento giratório da manopla (permitindo a passagem ou bloqueio de líquidos), setas indicativas direcionais do fluxo visível Descartável e estéril Embalagem individual com abertura em pétala e asséptica;1000;;;;;;
011/2023;11940;190;TUBO DE LÁTEX NATURAL Nº 201 15MTS, - Tamanho: 15 metros, - Cor: Amarelo, - Diâmetro externo: 8,0mm, - Diâmetro interno: 4,0mm, - Reg, ANVISA: 80286000006, - Tubo de Látex, - Não estéril, - Para uso único, - Produto com validade,;10;;;;;;
011/2023;11941;191;UMIDIFICADOR COM FRASCO 250 ML ROSCA METAL P/ OXIGÊNIO COM EXTENÇÃO E MASCARA,;100;;;;;;
011/2023;11942;192;VALVULA E BOLSA RESERVATORIO DE OXIGÊNIO AMBU ADULTO VOL, 120ML,;20;;;;;;
011/2023;11943;193;VALVULA E BOLSA RESERVATORIO DE OXIGENIO AMBU CRIANÇA VOL, 500ML,;20;;;;;;
011/2023;11944;194;VALVULA RESERVATORIO PARA AMBU,;20;;;;;;
011/2023;11945;195;SOLUÇÃO FISIOLOGICA 0,9% DE USO TOPICO VOL 500 ML COM GOTEJADOR,;2000;Farmax;Farmax;;SOLUÇÃO FISIOLOGICA 0,9% DE USO TOPICOVOL 500ML COM GOTEJADOR;8,19;16380
011/2023;11946;196;TESTE DE GRAVIDEZ, CONTEM UMA TIRA DE TESTE, E UM FRASCO COLETOR,;2000;;;;;;
011/2023;11947;197;RÉGUA ANTROPOMETRICA INFANTIL, MATERIAL MADEIRA MACIÇA PADRAO MARFIM, FAIXA DE MEDIÇÃO DE 0 A 100CM RESOLUÇÃO EM MILIMETROS GRADUAÇÃO 1MM, USO PORTATIL;20;;;;;;
011/2023;11948;198;ARMARIO VITRINE DE 1 PORTA COM FECHADURA FUNDO E TETO COM CHAPA DE AÇO, COMPRIMENTO 0,50CM ALTURA 1,50M PROFUNDIDADE 0,40 CM NA COR BRANCA;30;;;;;;
011/2023;11949;199;ESCADA 02 DEGRAUS, ESTRUTURAS CONSTRUIDA EM TUBOS 7/8 DEGRAUS, EM CHAPA COM PISO ANTIDERRAPANTE;30;;;;;;
